title,movie_count,years
Destiny,4,"[1921.0, 1944.0, 1997.0, 2006.0]"
Mercy,4,"[2000.0, 2009.0, 2014.0, 2016.0]"
The Prince and the Pauper,4,"[1937.0, 1962.0, 1990.0, 2000.0]"
Oliver Twist,4,"[1948.0, 1982.0, 1999.0, 2005.0]"
Out of the Blue,4,"[1980.0, 2002.0, 2006.0, 2013.0]"
The Raven,4,"[1935.0, 1963.0, 2006.0, 2012.0]"
Mars,4,"[1968.0, 1998.0, 2004.0, 2010.0]"
The Scapegoat,4,"[1959.0, 1963.0, 2012.0, 2013.0]"
Deliver Us from Evil,4,"[1973.0, 2006.0, 2009.0, 2014.0]"
The Nun,4,"[1966.0, 2005.0, 2007.0, 2013.0]"
Miss Julie,4,"[1951.0, 1999.0, 2011.0, 2014.0]"
Lola,4,"[1961.0, 1970.0, 1981.0, 2006.0]"
Legacy,4,"[1998.0, 2006.0, 2010.0, 2015.0]"
Midnight,4,"[1934.0, 1939.0, 1982.0, 1998.0]"
Sherlock Holmes,4,"[1916.0, 1922.0, 2009.0, 2010.0]"
Sisters,4,"[1973.0, 2001.0, 2006.0, 2015.0]"
The Magician,4,"[1898.0, 1926.0, 1958.0, 2005.0]"
Bad Boys,4,"[1983.0, 1995.0, 2003.0, 2014.0]"
The Island,4,"[1980.0, 2005.0, 2006.0, 2009.0]"
Red Dust,4,"[1932.0, 1990.0, 1999.0, 2004.0]"
Sahara,4,"[1943.0, 1983.0, 2005.0, 2017.0]"
Salomé,4,"[1923.0, 1972.0, 2002.0, 2013.0]"
Robin Hood,4,"[1922.0, 1973.0, 1991.0, 2010.0]"
Coming Home,4,"[1978.0, 2003.0, 2012.0, 2014.0]"
Ritual,4,"[2000.0, 2002.0, 2012.0, 2013.0]"
Control,4,"[2003.0, 2004.0, 2007.0, 2013.0]"
The Master,4,"[1980.0, 1992.0, 2012.0, 2017.0]"
The Merry Widow,4,"[1925.0, 1934.0, 1952.0, 2007.0]"
Possessed,4,"[1931.0, 1947.0, 1999.0, 2000.0]"
Pinocchio,4,"[1940.0, 1976.0, 2002.0, 2012.0]"
Suddenly,4,"[1954.0, 2002.0, 2006.0, 2013.0]"
