title,movie_count,years
Man of the House,2,"[1995.0, 2005.0]"
Man of the Moment,2,"[1935.0, 1955.0]"
Man of the Year,2,"[1995.0, 2006.0]"
Mermaid,2,"[1997.0, 2007.0]"
Metamorphosis,2,"[1990.0, 2003.0]"
Metastases,2,"[2009.0, 2012.0]"
Meteor,2,"[1979.0, 2009.0]"
Metro,2,"[1997.0, 2013.0]"
Metropolis,2,"[1927.0, 2001.0]"
Mannequin,2,"[1937.0, 1987.0]"
Manon of the Spring,2,"[1952.0, 1986.0]"
Mansfield Park,2,"[1999.0, 2007.0]"
Manslaughter,2,"[1922.0, 2005.0]"
Marathon,2,"[2002.0, 2005.0]"
Margaret,2,"[2009.0, 2011.0]"
Marie Antoinette,2,"[1938.0, 2006.0]"
Marius,2,"[1931.0, 2013.0]"
Martyrs,2,"[2008.0, 2016.0]"
Masquerade,2,"[1988.0, 2012.0]"
Desire,2,"[1936.0, 2011.0]"
Destroyer,2,"[1943.0, 1988.0]"
Detention,2,"[2003.0, 2011.0]"
Devdas,2,"[1955.0, 2002.0]"
Devil in the Flesh,2,"[1947.0, 1998.0]"
Devil's Playground,2,"[2002.0, 2010.0]"
Diabolique,2,"[1955.0, 1996.0]"
Mayerling,2,"[1936.0, 1968.0]"
Me Too,2,"[2009.0, 2012.0]"
Medea,2,"[1969.0, 1988.0]"
Melody,2,"[1971.0, 2014.0]"
Memorial Day,2,"[1983.0, 2011.0]"
Memories,2,"[1995.0, 2013.0]"
Memory Lane,2,"[2010.0, 2011.0]"
Men with Guns,2,"[1997.0, 1998.0]"
Mercenaries,2,"[2011.0, 2014.0]"
Morgan,2,"[2012.0, 2016.0]"
Morning Glory,2,"[1933.0, 2010.0]"
Mortuary,2,"[1983.0, 2005.0]"
Mickey,2,"[1918.0, 2004.0]"
Middle of Nowhere,2,"[2008.0, 2012.0]"
Midnight Sun,2,"[2006.0, 2014.0]"
Mighty Joe Young,2,"[1949.0, 1998.0]"
Mildred Pierce,2,"[1945.0, 2011.0]"
Mine,2,"[2009.0, 2016.0]"
Miracle on 34th Street,2,"[1947.0, 1994.0]"
Mirror Mirror,2,"[1990.0, 2012.0]"
Mischief Night,2,"[2013.0, 2014.0]"
Dementia,2,"[1955.0, 2015.0]"
Demon Hunter,2,"[2005.0, 2012.0]"
Derailed,2,"[2002.0, 2005.0]"
Deserter,2,"[1933.0, 2002.0]"
Mutants,2,"[2008.0, 2009.0]"
Mutiny on the Bounty,2,"[1935.0, 1962.0]"
My Best Friend,2,"[2001.0, 2006.0]"
My Best Friend's Girl,2,"[1983.0, 2008.0]"
My Bloody Valentine,2,"[1981.0, 2009.0]"
My Blue Heaven,2,"[1950.0, 1990.0]"
Mistress,2,"[1975.0, 1992.0]"
Moana,2,"[1926.0, 2016.0]"
Moby Dick,2,"[1956.0, 2011.0]"
Moebius,2,"[1996.0, 2013.0]"
Mom,2,"[1991.0, 2017.0]"
Momentum,2,"[2003.0, 2015.0]"
Mommy,2,"[1995.0, 2014.0]"
Monkey Business,2,"[1931.0, 1952.0]"
Monte Carlo,2,"[1930.0, 2011.0]"
More,2,"[1969.0, 1998.0]"
My Sassy Girl,2,"[2001.0, 2008.0]"
My Sister Eileen,2,"[1942.0, 1955.0]"
My Son,2,"[2006.0, 2007.0]"
My Way,2,"[2011.0, 2012.0]"
Mysterious Island,2,"[1961.0, 2005.0]"
Mädchen in Uniform,2,"[1931.0, 1958.0]"
Nana,2,"[1926.0, 1934.0]"
Nancy Drew,2,"[2002.0, 2007.0]"
Napoleon,2,"[1927.0, 1995.0]"
Natural Selection,2,"[2011.0, 2016.0]"
Mouth to Mouth,2,"[1995.0, 2005.0]"
Moving Target,2,"[1988.0, 1996.0]"
Mr. & Mrs. Smith,2,"[1941.0, 2005.0]"
Mr. Jones,2,"[1993.0, 2013.0]"
Murder on the Orient Express,2,"[1974.0, 2001.0]"
Murders in the Rue Morgue,2,"[1932.0, 1971.0]"
Dead Silence,2,"[1997.0, 2007.0]"
Dead of Night,2,"[1945.0, 1974.0]"
Deadlier Than the Male,2,"[1956.0, 1967.0]"
Deal,2,"[2008.0, 2012.0]"
Death Sentence,2,"[1974.0, 2007.0]"
Death Valley,2,"[1982.0, 2015.0]"
Death at a Funeral,2,"[2007.0, 2010.0]"
Deception,2,"[1946.0, 2008.0]"
Deck the Halls,2,"[2006.0, 2011.0]"
Defiance,2,"[1980.0, 2008.0]"
Delirious,2,"[1991.0, 2006.0]"
My Cousin Rachel,2,"[1952.0, 2017.0]"
My Father the Hero,2,"[1991.0, 1994.0]"
My Girl,2,"[1991.0, 2003.0]"
My Man,2,"[1996.0, 2014.0]"
My Man Godfrey,2,"[1936.0, 1957.0]"
No Mercy,2,"[1986.0, 2010.0]"
No Smoking,2,"[1951.0, 2007.0]"
No Way Out,2,"[1950.0, 1987.0]"
Noah,2,"[2013.0, 2014.0]"
Nature of the Beast,2,"[1995.0, 2007.0]"
Ned Kelly,2,"[1970.0, 2003.0]"
Never a Dull Moment,2,"[1950.0, 1968.0]"
New Year's Eve,2,"[1924.0, 2011.0]"
"New York, New York",2,"[1977.0, 2016.0]"
Night Flight,2,"[1933.0, 2014.0]"
Night Moves,2,"[1975.0, 2014.0]"
Night and Fog,2,"[1955.0, 2009.0]"
Night and the City,2,"[1950.0, 1992.0]"
Night of the Demon,2,"[1957.0, 1980.0]"
Night of the Demons,2,"[1988.0, 2009.0]"
Dead Heat,2,"[1988.0, 2002.0]"
Normal,2,"[2003.0, 2009.0]"
North,2,"[1994.0, 2009.0]"
Nothing Personal,2,"[1996.0, 2009.0]"
Nothing to Lose,2,"[1994.0, 1997.0]"
Notorious,2,"[1946.0, 2009.0]"
Nowhere to Hide,2,"[1999.0, 2009.0]"
Nymph,2,"[2009.0, 2014.0]"
Oasis,2,"[2002.0, 2017.0]"
Night of the Living Dead,2,"[1968.0, 1990.0]"
Nightmares,2,"[1980.0, 1983.0]"
Nightwatch,2,"[1994.0, 1997.0]"
Nina,2,"[1978.0, 2016.0]"
Nirvana,2,"[1997.0, 2008.0]"
No Escape,2,"[1994.0, 2015.0]"
No Good Deed,2,"[2002.0, 2014.0]"
No Man of Her Own,2,"[1932.0, 1950.0]"
David Copperfield,2,"[1935.0, 2001.0]"
David and Lisa,2,"[1962.0, 1998.0]"
Dawn of the Dead,2,"[1978.0, 2004.0]"
Day One,2,"[1989.0, 2015.0]"
Day and Night,2,"[1997.0, 2004.0]"
Day of Wrath,2,"[1943.0, 2006.0]"
Day of the Dead,2,"[1985.0, 2008.0]"
Days of Glory,2,"[1944.0, 2006.0]"
Days of Hope,2,"[1945.0, 1975.0]"
Dead Birds,2,"[1963.0, 2004.0]"
Noah's Ark,2,"[1928.0, 1999.0]"
Nobody's Fool,2,"[1986.0, 1994.0]"
Nobody's Perfect,2,"[1990.0, 2008.0]"
Nocturna,2,"[2007.0, 2015.0]"
Noise,2,"[2004.0, 2008.0]"
Non-Stop,2,"[2013.0, 2014.0]"
Out of Time,2,"[1988.0, 2003.0]"
Ocean's Eleven,2,"[1960.0, 2001.0]"
Of Mice and Men,2,"[1939.0, 1992.0]"
Off Beat,2,"[1986.0, 2004.0]"
Office,2,[2015.0]
Oklahoma!,2,"[1955.0, 1999.0]"
Oldboy,2,"[2003.0, 2013.0]"
On the Beach,2,"[1959.0, 2000.0]"
On the Edge,2,"[2001.0, 2006.0]"
Once Upon a Time,2,"[1922.0, 2008.0]"
One Foot in Heaven,2,"[1941.0, 1991.0]"
One Missed Call,2,"[2003.0, 2008.0]"
One More Time,2,"[1970.0, 2016.0]"
One Way or Another,2,"[1976.0, 1978.0]"
Darkness,2,"[2002.0, 2013.0]"
Darkness Falls,2,"[1999.0, 2003.0]"
Paparazzi,2,"[1998.0, 2004.0]"
Parade,2,"[1974.0, 2010.0]"
Paradox,2,"[2010.0, 2016.0]"
Parental Guidance,2,"[1996.0, 2012.0]"
One Week,2,"[1920.0, 2008.0]"
One on One,2,"[1977.0, 2014.0]"
Open Season,2,"[1996.0, 2006.0]"
Opening Night,2,"[1977.0, 2016.0]"
Operator,2,"[2015.0, 2016.0]"
Orphan,2,"[2009.0, 2017.0]"
Oscar,2,"[1967.0, 1991.0]"
Other Worlds,2,"[1999.0, 2004.0]"
Our Daily Bread,2,"[1934.0, 2006.0]"
Out Cold,2,"[1989.0, 2001.0]"
Out of Bounds,2,"[1986.0, 2011.0]"
Out of Reach,2,"[2004.0, 2013.0]"
Cyrano de Bergerac,2,"[1950.0, 1990.0]"
Dad,2,"[1989.0, 2010.0]"
Dad's Army,2,"[1971.0, 2016.0]"
Daddy,2,"[1995.0, 2004.0]"
Dante's Inferno,2,"[1935.0, 2007.0]"
Dark City,2,"[1950.0, 1998.0]"
Dark House,2,"[2009.0, 2014.0]"
Dark Water,2,"[2002.0, 2005.0]"
Out of the Dark,2,"[1995.0, 2014.0]"
Out on a Limb,2,"[1987.0, 1992.0]"
Outside the Law,2,"[2002.0, 2010.0]"
Paid in Full,2,"[1950.0, 2002.0]"
Pan,2,"[1995.0, 2015.0]"
Pandora's Box,2,"[1929.0, 2008.0]"
Panic,2,"[1947.0, 2000.0]"
Panic Button,2,"[1964.0, 2011.0]"
Poil de Carotte,2,"[1925.0, 1932.0]"
Point Blank,2,"[1967.0, 2010.0]"
Point Break,2,"[1991.0, 2015.0]"
Parents,2,"[1989.0, 2007.0]"
Parineeta,2,"[1953.0, 2005.0]"
Passengers,2,"[2008.0, 2016.0]"
Pathfinder,2,"[1987.0, 2007.0]"
Patrick,2,"[1978.0, 2013.0]"
Peacock,2,"[2010.0, 2015.0]"
Penelope,2,"[1966.0, 2006.0]"
Perfect Strangers,2,"[1945.0, 2016.0]"
Pete's Dragon,2,"[1977.0, 2016.0]"
Photographer,2,"[1998.0, 2015.0]"
Crocodile,2,"[1996.0, 2000.0]"
"Cry, the Beloved Country",2,"[1952.0, 1995.0]"
Cyberbully,2,"[2011.0, 2015.0]"
Premonition,2,"[2004.0, 2007.0]"
Presumed Guilty,2,"[2008.0, 2011.0]"
Pretty Baby,2,"[1950.0, 1978.0]"
Priceless,2,"[2006.0, 2016.0]"
Pickpocket,2,"[1959.0, 1997.0]"
Picnic,2,"[1955.0, 1996.0]"
Pie in the Sky,2,"[1935.0, 1996.0]"
Pigs,2,"[1992.0, 2007.0]"
Pilgrimage,2,"[1933.0, 2001.0]"
Piranha,2,"[1978.0, 1995.0]"
Pitfall,2,"[1948.0, 1962.0]"
Pixels,2,"[2010.0, 2015.0]"
Pizza,2,"[2005.0, 2012.0]"
Planet of the Apes,2,"[1968.0, 2001.0]"
Playground,2,"[2009.0, 2016.0]"
Playing for Keeps,2,"[1986.0, 2012.0]"
Private Lessons,2,"[1981.0, 2008.0]"
Private Parts,2,"[1972.0, 1997.0]"
Private Property,2,"[1960.0, 2006.0]"
Prom Night,2,"[1980.0, 2008.0]"
Promise,2,"[1986.0, 2005.0]"
Promised Land,2,"[1987.0, 2012.0]"
Proof,2,"[1991.0, 2005.0]"
Proteus,2,"[1995.0, 2003.0]"
Providence,2,"[1977.0, 2016.0]"
Poison Ivy,2,"[1985.0, 1992.0]"
Pollyanna,2,"[1960.0, 2003.0]"
Poltergeist,2,"[1982.0, 2015.0]"
Popcorn,2,"[1991.0, 2007.0]"
Port of Call,2,"[1948.0, 2015.0]"
Posse,2,"[1975.0, 1993.0]"
Power Rangers,2,"[2015.0, 2017.0]"
Courage,2,"[2009.0, 2011.0]"
Crackerjack,2,"[1994.0, 2002.0]"
Crash,2,"[1996.0, 2004.0]"
Crash Dive,2,"[1943.0, 1997.0]"
Crazy,2,"[2000.0, 2008.0]"
Crazy Horse,2,"[1996.0, 2011.0]"
Creep,2,"[2004.0, 2014.0]"
Crime Wave,2,"[1954.0, 1985.0]"
Criminal,2,"[2004.0, 2016.0]"
Crisis,2,"[1946.0, 1950.0]"
Pride,2,"[2007.0, 2014.0]"
Pride and Prejudice,2,"[1940.0, 1980.0]"
Priest,2,"[1994.0, 2011.0]"
Prince Valiant,2,"[1954.0, 1997.0]"
Princess,2,"[1969.0, 2006.0]"
Prison,2,"[1949.0, 1988.0]"
Red Dawn,2,"[1984.0, 2012.0]"
Red Heat,2,"[1985.0, 1988.0]"
Red Lights,2,"[2004.0, 2012.0]"
Red Riding Hood,2,"[2006.0, 2011.0]"
Red Sun,2,"[1970.0, 1971.0]"
Redline,2,"[2007.0, 2009.0]"
Provocateur,2,"[1995.0, 1998.0]"
Psycho,2,"[1960.0, 1998.0]"
Pure,2,"[2002.0, 2009.0]"
Pusher,2,"[1996.0, 2012.0]"
Quo Vadis,2,"[1951.0, 2001.0]"
Rabid Dogs,2,"[1974.0, 2015.0]"
Race,2,"[2008.0, 2016.0]"
Raffles,2,"[1930.0, 1939.0]"
Ransom,2,"[1975.0, 1996.0]"
Cops and Robbers,2,"[1951.0, 1973.0]"
Conan the Barbarian,2,"[1982.0, 2011.0]"
Concussion,2,"[2013.0, 2015.0]"
Coney Island,2,"[1917.0, 1943.0]"
Confession,2,"[1937.0, 2014.0]"
Conquest,2,"[1937.0, 1983.0]"
Conspiracy,2,"[2001.0, 2008.0]"
Contraband,2,"[1940.0, 2012.0]"
Rapid Fire,2,"[1992.0, 2006.0]"
Rapture,2,"[1965.0, 1979.0]"
Raw Deal,2,"[1948.0, 1986.0]"
Reality,2,"[2012.0, 2014.0]"
Rear Window,2,"[1954.0, 1998.0]"
Rebellion,2,"[2009.0, 2011.0]"
Rebirth,2,"[2011.0, 2016.0]"
Reckless,2,"[1984.0, 1995.0]"
Reconstruction,2,"[1970.0, 2003.0]"
Refuge,2,"[2012.0, 2013.0]"
Regeneration,2,"[1915.0, 1997.0]"
Rembrandt,2,"[1936.0, 1999.0]"
Repentance,2,"[1984.0, 2014.0]"
Requiem,2,"[2001.0, 2006.0]"
Restoration,2,"[1995.0, 2016.0]"
Return to Sender,2,"[2004.0, 2015.0]"
Reunion,2,"[1989.0, 2015.0]"
Revolution,2,"[1985.0, 2013.0]"
Rhinoceros,2,"[1964.0, 1974.0]"
College,2,"[1927.0, 2008.0]"
Come Undone,2,"[2000.0, 2010.0]"
Coming Soon,2,"[1999.0, 2008.0]"
Company,2,"[2002.0, 2011.0]"
Compulsion,2,"[1959.0, 2013.0]"
Comrades,2,"[1970.0, 1987.0]"
Rush,2,"[1991.0, 2013.0]"
Sabotage,2,"[1936.0, 2014.0]"
Sabrina,2,"[1954.0, 1995.0]"
Ricochet,2,"[1991.0, 2011.0]"
Ride,2,"[1998.0, 2014.0]"
Riff-Raff,2,"[1947.0, 1991.0]"
Rings,2,"[2005.0, 2017.0]"
Rio,2,"[1939.0, 2011.0]"
Riot,2,"[1969.0, 2015.0]"
River,2,"[2015.0, 2016.0]"
Riverworld,2,"[2003.0, 2010.0]"
Road,2,"[2002.0, 2014.0]"
Road House,2,"[1948.0, 1989.0]"
Roadie,2,"[1980.0, 2011.0]"
Roar,2,"[1981.0, 2014.0]"
Robbery,2,"[1967.0, 2015.0]"
City on Fire,2,"[1979.0, 1987.0]"
Clash,2,"[2009.0, 2016.0]"
Clash of the Titans,2,"[1981.0, 2010.0]"
Closed Circuit,2,"[1978.0, 2013.0]"
Cobra,2,"[1925.0, 1986.0]"
Cocktail,2,"[1988.0, 2012.0]"
Cold Sweat,2,"[1970.0, 1993.0]"
RoboCop,2,"[1987.0, 2014.0]"
Rollerball,2,"[1975.0, 2002.0]"
Roma,2,"[1972.0, 2004.0]"
Romeo and Juliet,2,"[1936.0, 1968.0]"
Room,2,"[2005.0, 2015.0]"
Rosemary's Baby,2,"[1968.0, 2014.0]"
Rough Cut,2,"[1980.0, 2008.0]"
Ruby,2,"[1977.0, 1992.0]"
Running Wild,2,"[1995.0, 2006.0]"
See No Evil,2,"[1971.0, 2006.0]"
Safe,2,"[1995.0, 2012.0]"
Safe House,2,"[1998.0, 2012.0]"
Salem's Lot,2,"[1979.0, 2004.0]"
Salvage,2,"[2006.0, 2010.0]"
Samsara,2,"[2001.0, 2011.0]"
San Quentin,2,"[1937.0, 1946.0]"
Santa Claws,2,"[1996.0, 2014.0]"
Save Me,2,"[1994.0, 2007.0]"
Saving Face,2,"[2004.0, 2012.0]"
Saw,2,"[2003.0, 2004.0]"
Chrysalis,2,"[2007.0, 2014.0]"
Cimarron,2,"[1931.0, 1960.0]"
Circus,2,"[1936.0, 2000.0]"
City Under Siege,2,"[1974.0, 2010.0]"
City of Ghosts,2,"[2002.0, 2017.0]"
Shaft,2,"[1971.0, 2000.0]"
Shall We Dance?,2,"[1996.0, 2004.0]"
Shame,2,"[1968.0, 2011.0]"
Shameless,2,"[2010.0, 2012.0]"
Scandal,2,"[1950.0, 1989.0]"
Scaramouche,2,"[1923.0, 1952.0]"
Scarface,2,"[1932.0, 1983.0]"
Scene of the Crime,2,"[1949.0, 1986.0]"
Scent of a Woman,2,"[1974.0, 1992.0]"
Schizo,2,"[1976.0, 2004.0]"
School for Scoundrels,2,"[1960.0, 2006.0]"
Scorned,2,"[1994.0, 2013.0]"
Screamers,2,"[1995.0, 2006.0]"
Screwed,2,"[2000.0, 2011.0]"
Secret,2,"[2007.0, 2009.0]"
Seduced and Abandoned,2,"[1964.0, 2013.0]"
Cheaper by the Dozen,2,"[1950.0, 2003.0]"
Chicago,2,"[1927.0, 2002.0]"
Child's Play,2,"[1972.0, 1988.0]"
Children of the Corn,2,"[1984.0, 2009.0]"
China Gate,2,"[1957.0, 1998.0]"
Christmas Eve,2,"[1947.0, 2015.0]"
Christmas in Connecticut,2,"[1945.0, 1992.0]"
Seizure,2,"[1974.0, 2017.0]"
Senseless,2,"[1998.0, 2008.0]"
September,2,"[1987.0, 2013.0]"
Sequoia,2,"[1935.0, 2014.0]"
Serena,2,"[2014.0, 2016.0]"
Seven Days,2,"[2007.0, 2010.0]"
Seventh Heaven,2,"[1993.0, 1997.0]"
Shadow People,2,"[2007.0, 2013.0]"
Shadows,2,"[1959.0, 2007.0]"
Skinwalkers,2,"[2002.0, 2006.0]"
Shanghai,2,"[2010.0, 2012.0]"
Shank,2,"[2009.0, 2010.0]"
Shattered Glass,2,"[2002.0, 2003.0]"
Shelter Island,2,"[2003.0, 2011.0]"
Shenandoah,2,"[1965.0, 2012.0]"
Shiva,2,"[1990.0, 2006.0]"
Shock,2,"[1946.0, 1977.0]"
Shoot to Kill,2,"[1947.0, 1988.0]"
Show Boat,2,"[1936.0, 1951.0]"
Sicario,2,"[1994.0, 2015.0]"
Side Effects,2,"[2005.0, 2013.0]"
Chained,2,"[1934.0, 2012.0]"
Charleston,2,"[1974.0, 1977.0]"
Charlotte's Web,2,"[1973.0, 2006.0]"
Charly,2,"[1968.0, 2002.0]"
Snatched,2,"[1973.0, 2017.0]"
Snow,2,"[2004.0, 2008.0]"
Solaris,2,"[1972.0, 2002.0]"
Soldier,2,[1998.0]
Sidewalks of New York,2,"[1931.0, 2001.0]"
Sideways,2,"[2004.0, 2009.0]"
Signs,2,"[2002.0, 2008.0]"
Silenced,2,"[2011.0, 2014.0]"
Silent Retreat,2,"[2013.0, 2016.0]"
Simon,2,"[1980.0, 2004.0]"
Sing,2,[2016.0]
Sink or Swim,2,"[1990.0, 1997.0]"
Siren,2,"[2010.0, 2016.0]"
Ski Patrol,2,"[1940.0, 1990.0]"
Skin,2,"[2008.0, 2009.0]"
Skins,2,"[2002.0, 2017.0]"
Southern Comfort,2,"[1981.0, 2001.0]"
Sparkle,2,"[1976.0, 2012.0]"
Sparrows,2,"[1926.0, 2015.0]"
Spartacus,2,"[1960.0, 2004.0]"
Special Correspondents,2,"[2009.0, 2016.0]"
Special Delivery,2,"[1978.0, 2002.0]"
Special Forces,2,"[2003.0, 2011.0]"
Sky High,2,"[2003.0, 2005.0]"
Skylark,2,"[1941.0, 1993.0]"
Skyscraper,2,"[1996.0, 2011.0]"
Slam,2,"[1998.0, 2016.0]"
Sleepless,2,"[2001.0, 2017.0]"
Sleuth,2,"[1972.0, 2007.0]"
Slipstream,2,"[1989.0, 2007.0]"
Slither,2,"[1973.0, 2006.0]"
Smile,2,"[1975.0, 2005.0]"
Carny,2,"[1980.0, 2009.0]"
Casanova,2,[2005.0]
Casino Royale,2,"[1967.0, 2006.0]"
Cat People,2,"[1942.0, 1982.0]"
Catacombs,2,"[1988.0, 2007.0]"
Catch Me If You Can,2,"[1989.0, 2002.0]"
Center Stage,2,"[1991.0, 2000.0]"
Chain Reaction,2,"[1996.0, 2006.0]"
Somebody Up There Likes Me,2,"[1956.0, 2013.0]"
Something Wild,2,"[1961.0, 1986.0]"
Something to Sing About,2,"[1937.0, 2000.0]"
Son of Dracula,2,"[1943.0, 1974.0]"
Sonny Boy,2,"[1990.0, 2011.0]"
Sorceress,2,"[1982.0, 1995.0]"
Sounder,2,"[1972.0, 2003.0]"
Sour Grapes,2,"[1998.0, 2016.0]"
Strange Invaders,2,"[1983.0, 2002.0]"
Speedway,2,"[1929.0, 1968.0]"
Spider,2,"[2002.0, 2007.0]"
Spiders,2,"[2000.0, 2013.0]"
Spiral,2,"[2000.0, 2007.0]"
Splendor,2,"[1989.0, 1999.0]"
Split Second,2,"[1953.0, 1992.0]"
Spring,2,"[1969.0, 2014.0]"
Stage Fright,2,"[1950.0, 2014.0]"
Stagecoach,2,"[1939.0, 1966.0]"
Stalker,2,"[1979.0, 2010.0]"
Standoff,2,"[1998.0, 2016.0]"
Stardust,2,"[1974.0, 2007.0]"
Caravaggio,2,"[1986.0, 2007.0]"
Carnage,2,"[2002.0, 2011.0]"
Carnival of Souls,2,"[1962.0, 1998.0]"
Submarine,2,"[1928.0, 2011.0]"
Submerged,2,"[2005.0, 2015.0]"
Sugar Hill,2,"[1974.0, 1994.0]"
Suicide Club,2,"[2001.0, 2010.0]"
Sultan,2,"[1978.0, 2016.0]"
Summer Camp,2,"[1979.0, 2016.0]"
Stay,2,"[2005.0, 2013.0]"
Stereo,2,"[1969.0, 2014.0]"
Stevie,2,"[2002.0, 2008.0]"
Stitches,2,"[1985.0, 2012.0]"
Stolen,2,"[2009.0, 2012.0]"
Stone,2,"[2010.0, 2012.0]"
Stonewall,2,"[1995.0, 2015.0]"
Storm,2,"[1999.0, 2009.0]"
Storm Warning,2,"[1951.0, 2007.0]"
Stormy Weather,2,"[1943.0, 2003.0]"
California,2,"[1947.0, 1977.0]"
Camino,2,"[2008.0, 2016.0]"
Camouflage,2,"[1977.0, 2001.0]"
Camp,2,"[2003.0, 2013.0]"
Candy,2,"[1968.0, 2006.0]"
Cannibal,2,"[2006.0, 2013.0]"
Cape Fear,2,"[1962.0, 1991.0]"
Caprice,2,"[1967.0, 2015.0]"
Captain Blood,2,"[1935.0, 1960.0]"
Captain January,2,"[1924.0, 1936.0]"
Strapped,2,"[1993.0, 2010.0]"
Straw Dogs,2,"[1971.0, 2011.0]"
Stray Dogs,2,"[2004.0, 2014.0]"
Strayed,2,"[2003.0, 2009.0]"
Street Angel,2,"[1928.0, 1937.0]"
Stuck,2,"[2007.0, 2013.0]"
Taken,2,"[2002.0, 2008.0]"
Taking Chances,2,"[2009.0, 2011.0]"
Summer Storm,2,"[1944.0, 2004.0]"
Sundown,2,"[1941.0, 2016.0]"
Sunflower,2,"[1970.0, 2005.0]"
Sunset Strip,2,"[2000.0, 2012.0]"
Sunshine,2,"[1999.0, 2007.0]"
Superbad,2,"[2007.0, 2016.0]"
Superman,2,"[1948.0, 1978.0]"
Supernova,2,"[2000.0, 2005.0]"
Superstar,2,"[1999.0, 2012.0]"
Sur,2,"[1988.0, 2002.0]"
Swallows and Amazons,2,"[1974.0, 2016.0]"
Ca$h,2,"[2008.0, 2010.0]"
Cabin Fever,2,"[2003.0, 2016.0]"
Cake,2,"[2005.0, 2014.0]"
Teeth,2,"[2000.0, 2007.0]"
Tell No One,2,"[2006.0, 2012.0]"
Tempest,2,"[1928.0, 1982.0]"
Terminus,2,"[1987.0, 2015.0]"
Sweet Home,2,"[1989.0, 2015.0]"
Sweet November,2,"[1968.0, 2001.0]"
Sweet Revenge,2,"[1976.0, 1987.0]"
Sweet Sixteen,2,"[1983.0, 2002.0]"
Swept Away,2,"[1974.0, 2002.0]"
Swimming Pool,2,"[2001.0, 2003.0]"
Swing,2,"[2002.0, 2008.0]"
Swingers,2,"[1996.0, 2002.0]"
Sybil,2,"[1976.0, 2007.0]"
Sylvia,2,"[1965.0, 2003.0]"
Tabu,2,"[1931.0, 2012.0]"
Take Me to the River,2,"[2014.0, 2016.0]"
The Adversary,2,"[1970.0, 2002.0]"
The Age of Innocence,2,"[1934.0, 1993.0]"
The Alamo,2,"[1960.0, 2004.0]"
The Amateur,2,"[1981.0, 1999.0]"
The Amityville Horror,2,"[1979.0, 2005.0]"
The Andromeda Strain,2,"[1971.0, 2008.0]"
The Apartment,2,"[1960.0, 1996.0]"
The Ape,2,"[1940.0, 2009.0]"
Tale of Tales,2,"[1979.0, 2015.0]"
Tangerine,2,"[2008.0, 2015.0]"
Tangled,2,"[2001.0, 2010.0]"
Tarzan,2,"[1999.0, 2013.0]"
Teacher's Pet,2,"[1958.0, 2004.0]"
Teddy Bear,2,"[1981.0, 2012.0]"
Teen Spirit,2,"[2007.0, 2011.0]"
Teenage Mutant Ninja Turtles,2,"[1990.0, 2014.0]"
The Assassin,2,"[1961.0, 2015.0]"
The Assault,2,"[1986.0, 2010.0]"
The Assignment,2,"[1997.0, 2016.0]"
The Avengers,2,"[1998.0, 2012.0]"
The Aviator,2,"[1985.0, 2004.0]"
The Awakening,2,"[1980.0, 2011.0]"
The Bad Seed,2,"[1956.0, 1985.0]"
The Ballad of Narayama,2,"[1958.0, 1983.0]"
The Bank,2,"[1915.0, 2001.0]"
Tess of the D'Urbervilles,2,"[1998.0, 2008.0]"
The Abandoned,2,"[2006.0, 2016.0]"
The Abyss,2,"[1910.0, 1989.0]"
The Accused,2,"[1949.0, 1988.0]"
The Adventures of Buratino,2,"[1959.0, 1975.0]"
The Adventures of Huckleberry Finn,2,"[1939.0, 1960.0]"
The Adventures of Mark Twain,2,"[1944.0, 1985.0]"
Broken English,2,"[1996.0, 2007.0]"
Brother's Keeper,2,"[1992.0, 2013.0]"
Brutal,2,"[2007.0, 2012.0]"
Buddy,2,"[1997.0, 2003.0]"
Bug,2,"[1975.0, 2006.0]"
Bullet,2,"[1996.0, 2014.0]"
Bulletproof,2,"[1988.0, 1996.0]"
Bully,2,"[2001.0, 2011.0]"
Buried Alive,2,"[1939.0, 1990.0]"
Butterfly Kiss,2,"[1995.0, 2006.0]"
By Dawn's Early Light,2,"[1990.0, 2001.0]"
The Apple,2,"[1980.0, 1998.0]"
The Architect,2,"[2006.0, 2016.0]"
The Art of Love,2,"[1965.0, 2011.0]"
The Art of the Steal,2,"[2009.0, 2013.0]"
The Artist,2,"[2008.0, 2011.0]"
The Book of Life,2,"[1998.0, 2014.0]"
The Border,2,"[1982.0, 2007.0]"
The Bourne Identity,2,"[1988.0, 2002.0]"
The Barber,2,"[2001.0, 2015.0]"
The Beach,2,"[1954.0, 2000.0]"
The Beguiled,2,"[1971.0, 2017.0]"
The Big Fix,2,"[1978.0, 2011.0]"
The Big Heat,2,"[1953.0, 1988.0]"
The Big Picture,2,"[1989.0, 2010.0]"
The Big Sleep,2,"[1946.0, 1978.0]"
The Big Steal,2,"[1949.0, 1990.0]"
The Big Store,2,"[1941.0, 1973.0]"
The Birth of a Nation,2,"[1915.0, 2016.0]"
The Biscuit Eater,2,"[1940.0, 1972.0]"
Broken Arrow,2,"[1950.0, 1996.0]"
Broken Blossoms,2,"[1919.0, 1936.0]"
Branded,2,"[1950.0, 2012.0]"
Brave,2,"[1994.0, 2012.0]"
Break Free,2,"[2003.0, 2014.0]"
Breaking and Entering,2,"[2006.0, 2011.0]"
Breakthrough,2,"[1950.0, 1979.0]"
