release_year,movie_count,mean_user_rating,mean_unique_users,mean_popularity,mean_vote_average
1940.0,152,3.6665217391304346,13.782608695652174,1.4574191118421052,5.7065789473684205
1941.0,147,3.725,11.590909090909092,1.7553664693877553,5.759863945578232
1942.0,146,3.6782142857142857,7.892857142857143,1.3872051643835617,5.3417808219178085
1943.0,144,3.5675,2.1,1.2167596944444443,5.574999999999999
1944.0,142,3.5677272727272724,7.5,1.5504851126760562,5.5366197183098596
1945.0,147,3.566086956521739,3.130434782608696,1.5800177959183674,4.994557823129252
1946.0,128,3.7620833333333334,8.0,1.8728046640625,5.8328125
1947.0,156,3.5236666666666667,2.9,1.361304326923077,5.579487179487179
1948.0,157,3.605555555555555,4.481481481481482,1.6520841783439488,5.809554140127388
1949.0,174,3.810909090909091,4.318181818181818,1.3426384252873564,5.802298850574712
1950.0,184,3.4739285714285715,8.5,1.775890570652174,5.541304347826087
1951.0,196,3.9332,9.8,1.6119095051020407,5.660714285714286
1952.0,194,3.763478260869565,6.521739130434782,1.3845643092783506,5.547938144329897
1953.0,199,3.734,6.2,1.996100653266332,5.717085427135679
1954.0,191,3.4896969696969697,10.545454545454545,1.8870850785340314,5.7507853403141365
1955.0,209,3.5146938775510206,5.979591836734694,1.9440206267942586,5.779904306220096
1956.0,218,3.360606060606061,5.151515151515151,1.7613286559633028,5.9761467889908255
1957.0,244,3.66,8.051282051282051,1.7342441188524589,5.620901639344262
1958.0,220,3.5716129032258066,7.935483870967742,1.7187416681818184,5.765454545454546
1959.0,224,3.4448717948717946,9.256410256410257,1.83648471875,5.844196428571428
1960.0,218,3.5919999999999996,6.888888888888889,2.1252233256880735,5.869724770642201
1961.0,203,3.436,8.17142857142857,1.7795330985221676,5.737438423645321
1962.0,229,3.7745238095238096,9.0,1.9864978515283842,5.734497816593887
1963.0,233,3.479574468085106,7.446808510638298,1.967954210300429,5.860085836909872
1964.0,254,3.5520454545454543,9.681818181818182,1.9370566259842519,5.818110236220472
1965.0,247,3.5034883720930234,5.906976744186046,1.8178014534412956,5.906072874493927
1966.0,306,3.4026530612244894,4.63265306122449,2.006629911764706,5.6758169934640526
1967.0,288,3.388888888888889,8.666666666666666,1.9750700312499998,5.673263888888889
1968.0,338,3.2402272727272727,10.363636363636363,1.7906441360946745,5.670710059171598
1969.0,305,3.5013513513513517,7.135135135135135,1.5165315672131148,5.58655737704918
